Participant;Duration;Tempo;Stimuli_Nu;Decision;Music_Duration
Sub101;7;3;7;2;7.000070606
Sub101;7;2;8;1;7.000069851
Sub101;2;3;5;1;2.000056636
Sub101;2;2;5;1;2.000056636
Sub101;3;2;6;1;3.000057769
Sub101;8;2;7;2;8.000070229
Sub101;2;3;8;1;2.000056259
Sub101;6;3;9;2;6.000070606
Sub101;8;1;9;2;8.000071362
Sub101;3;2;9;1;3.000056636
Sub101;3;1;5;1;3.000057014
Sub101;7;1;9;2;7.000071739
Sub101;5;1;4;1;5.000055503
Sub101;4;3;10;1;4.000057769
Sub101;6;1;6;2;6.000070606
Sub101;3;3;9;1;3.000056259
Sub101;7;1;7;2;7.000071362
Sub101;7;3;9;1;7.000073627
Sub101;5;2;4;1;5.000057014
Sub101;5;3;2;1;5.000056259
Sub101;6;3;2;2;6.000055881
Sub101;6;2;4;1;6.000071739
Sub101;6;1;10;1;6.000070984
Sub101;2;2;5;1;2.000067963
Sub101;6;2;1;2;6.000057391
Sub101;5;1;10;1;5.000057391
Sub101;7;3;2;2;7.000071739
Sub101;5;2;5;1;5.000057014
Sub101;6;3;8;2;6.000056636
Sub101;4;2;6;1;4.000056636
Sub101;2;3;9;1;2.000057769
Sub101;4;1;9;1;4.000057014
Sub101;3;1;3;1;3.000055881
Sub101;3;1;2;1;3.000057391
Sub101;4;3;9;1;4.000057014
Sub101;2;2;1;1;2.000056259
Sub101;2;1;3;1;2.000068719
Sub101;2;3;5;1;2.000055126
Sub101;8;3;8;2;8.000071739
Sub101;2;3;2;1;2.000055881
Sub101;7;2;1;1;7.000070984
Sub101;4;1;2;1;4.000058146
Sub101;6;2;2;2;6.000070606
Sub101;3;2;10;1;3.000056259
Sub101;7;3;7;2;7.000071739
Sub101;6;2;6;2;6.000072494
Sub101;4;2;10;1;4.000055503
Sub101;8;3;9;2;8.000069096
Sub101;2;3;10;1;2.000057014
Sub101;5;2;7;1;5.000056636
Sub101;7;2;10;1;7.000057769
Sub101;5;2;2;1;5.000055881
Sub101;4;3;4;1;4.000055503
Sub101;5;1;6;1;5.000055881
Sub101;4;1;4;1;4.000055503
Sub101;6;2;10;1;6.000072117
Sub101;8;1;9;2;8.000070984
Sub101;6;2;2;2;6.000057014
Sub101;5;3;2;2;5.000055503
Sub101;5;2;1;2;5.000056259
Sub101;8;1;4;2;8.000073627
Sub101;4;3;9;1;4.000069851
Sub101;2;2;8;1;2.000056636
Sub101;7;1;8;2;7.000070984
Sub101;5;2;2;2;5.000057769
Sub101;7;2;5;2;7.000071739
Sub101;5;3;4;2;5.000056259
Sub101;7;1;6;2;7.000056636
Sub101;7;2;9;2;7.000070606
Sub101;4;3;1;1;4.000068341
Sub101;2;1;1;1;2.000055503
Sub101;4;2;7;1;4.000056259
Sub101;6;2;9;1;6.000057391
Sub101;8;1;3;2;8.000071362
Sub101;8;3;3;2;8.000071362
Sub101;5;3;5;1;5.000055881
Sub101;4;2;4;1;4.000056636
Sub101;6;3;7;1;6.000071739
Sub101;2;1;8;1;2.000057014
Sub101;8;2;2;2;8.000071362
Sub101;3;3;6;1;3.000055126
Sub101;3;1;10;1;3.000057391
Sub101;8;1;3;2;8.000070606
Sub101;4;3;8;1;4.000056636
Sub101;7;2;6;2;7.000072494
Sub101;7;2;8;2;7.000071739
Sub101;5;2;5;1;5.000056636
Sub101;5;3;9;2;5.000057014
Sub101;8;3;5;2;8.000070606
Sub101;5;3;3;1;5.000057391
Sub101;2;3;6;1;2.000056636
Sub101;8;3;4;2;8.000069851
Sub101;4;3;4;1;4.000056259
Sub101;8;1;1;2;8.000072117
Sub101;5;1;2;1;5.000055503
Sub101;4;1;3;1;4.000055126
Sub101;5;3;10;1;5.000055881
Sub101;7;2;10;2;7.000071362
Sub101;2;3;4;1;2.000057014
Sub101;3;2;3;1;3.000057014
Sub101;8;2;5;2;8.000069474
Sub101;7;3;5;2;7.000070984
Sub101;6;1;8;1;6.000055881
Sub101;3;3;2;1;3.000056259
Sub101;4;1;10;1;4.000057014
Sub101;7;1;2;1;7.000071362
Sub101;5;1;2;2;5.000055503
Sub101;8;3;3;2;8.000071739
Sub101;8;3;1;2;8.000070984
Sub101;6;3;2;2;6.000057014
Sub101;5;1;6;1;5.000056259
Sub101;3;1;9;1;3.000057014
Sub101;4;2;1;1;4.000056636
Sub101;4;3;8;1;4.000056259
Sub101;6;1;7;1;6.000056636
Sub101;8;3;7;2;8.000070606
Sub101;5;1;3;1;5.000057014
Sub101;4;2;2;1;4.000055503
Sub101;5;2;3;1;5.000068719
Sub101;8;2;4;2;8.000073249
Sub101;8;2;6;2;8.00008722
Sub101;2;1;9;1;2.00007476
Sub101;5;1;8;1;5.000077403
Sub101;6;3;5;2;6.000078913
Sub101;4;2;8;1;4.000056259
Sub101;4;1;8;1;4.000055881
Sub101;5;1;1;1;5.000056259
Sub101;2;2;10;1;2.000100435
Sub101;2;2;7;1;2.000057391
Sub101;5;3;4;2;5.000055881
Sub101;8;3;4;2;8.000071362
Sub101;4;3;6;1;4.000057769
Sub101;2;2;2;1;2.000057391
Sub101;7;3;3;2;7.000056259
Sub101;6;1;3;1;6.000057391
Sub101;7;3;5;1;7.000057014
Sub101;7;2;6;2;7.000057014
Sub101;4;1;1;1;4.000056636
Sub101;4;1;5;1;4.000056636
Sub101;7;2;4;2;7.000072494
Sub101;6;2;7;2;6.000057391
Sub101;6;3;3;1;6.000071739
Sub101;5;3;6;1;5.000055881
Sub101;8;3;10;2;8.000072117
Sub101;5;1;9;1;5.000055881
Sub101;6;1;10;1;6.000056259
Sub101;5;1;7;1;5.000056259
Sub101;8;1;5;2;8.000071739
Sub101;6;2;5;2;6.000057391
Sub101;2;3;7;1;2.000055503
Sub101;3;3;1;1;3.000055881
Sub101;7;3;1;1;7.000056259
Sub101;3;1;3;1;3.000057769
Sub101;6;2;3;2;6.000055503
Sub101;8;1;1;2;8.000072494
Sub101;6;3;8;2;6.000071362
Sub101;2;2;9;1;2.000057769
Sub101;4;1;3;1;4.000055126
Sub101;8;2;10;2;8.000071739
Sub101;8;3;2;2;8.000071362
Sub101;5;2;10;1;5.000056259
Sub101;4;3;1;1;4.000057014
Sub101;5;3;8;2;5.00007778
Sub101;5;3;7;1;5.00007476
Sub101;4;2;9;1;4.000075892
Sub101;8;2;9;2;8.000095526
Sub101;8;2;1;2;8.000070984
Sub101;8;3;7;1;8.000072494
Sub101;6;1;5;1;6.000055881
Sub101;8;1;7;2;8.000071739
Sub101;6;3;1;2;6.000071739
Sub101;7;3;3;1;7.000072494
Sub101;3;3;7;1;3.000055503
Sub101;6;1;8;2;6.000070984
Sub101;2;3;8;1;2.000056636
Sub101;8;1;4;2;8.000072494
Sub101;8;3;6;1;8.000072117
Sub101;2;3;6;1;2.000055881
Sub101;4;1;4;1;4.000057769
Sub101;4;1;8;1;4.000055881
Sub101;7;3;1;2;7.000055881
Sub101;7;3;8;2;7.000056259
Sub101;3;2;8;1;3.000057769
Sub101;6;3;10;1;6.000055503
Sub101;4;3;2;1;4.000056636
Sub101;3;1;7;1;3.000097792
Sub101;5;1;10;1;5.000055881
Sub101;6;3;1;2;6.000055503
Sub101;4;1;7;1;4.000056636
Sub101;7;1;1;2;7.000114405
Sub101;4;2;2;1;4.000055881
